0,0,2400
0,1,2399
0,2,2398
0,3,2397
0,4,2396
0,5,2395
0,6,2394
0,7,2393
0,8,2392
0,9,2391
0,10,2390
0,11,2389
0,12,2388
0,13,2387
0,14,2386
0,15,2385
0,16,2384
0,17,2383
0,18,2382
0,19,2381
0,20,2380
0,21,2379
0,22,2378
0,23,2377
0,24,2376
0,25,2375
0,26,2374
0,27,2373
0,28,2372
0,29,2371
0,30,2370
0,31,2369
0,32,2368
0,33,2367
0,34,2366
0,35,2365
0,36,2364
0,37,2363
0,38,2362
0,39,2361
1,0,2360
1,1,2359
1,2,2358
1,3,2357
1,4,2356
1,5,2355
1,6,2354
1,7,2353
1,8,2352
1,9,2351
1,10,2350
1,11,2349
1,12,2348
1,13,2347
1,14,2346
1,15,2345
1,16,2344
1,17,2343
1,18,2342
1,19,2341
1,20,2340
1,21,2339
1,22,2338
1,23,2337
1,24,2336
1,25,2335
1,26,2334
1,27,2333
1,28,2332
1,29,2331
1,30,2330
1,31,2329
1,32,2328
1,33,2327
1,34,2326
1,35,2325
1,36,2324
1,37,2323
1,38,2322
1,39,2321
2,0,2320
2,1,2319
2,2,2318
2,3,2317
2,4,2316
2,5,2315
2,6,2314
2,7,2313
2,8,2312
2,9,2311
2,10,2310
2,11,2309
2,12,2308
2,13,2307
2,14,2306
2,15,2305
2,16,2304
2,17,2303
2,18,2302
2,19,2301
2,20,2300
2,21,2299
2,22,2298
2,23,2297
2,24,2296
2,25,2295
2,26,2294
2,27,2293
2,28,2292
2,29,2291
2,30,2290
2,31,2289
2,32,2288
2,33,2287
2,34,2286
2,35,2285
2,36,2284
2,37,2283
2,38,2282
2,39,2281
3,0,2280
3,1,2279
3,2,2278
3,3,2277
3,4,2276
3,5,2275
3,6,2274
3,7,2273
3,8,2272
3,9,2271
3,10,2270
3,11,2269
3,12,2268
3,13,2267
3,14,2266
3,15,2265
3,16,2264
3,17,2263
3,18,2262
3,19,2261
3,20,2260
3,21,2259
3,22,2258
3,23,2257
3,24,2256
3,25,2255
3,26,2254
3,27,2253
3,28,2252
3,29,2251
3,30,2250
3,31,2249
3,32,2248
3,33,2247
3,34,2246
3,35,2245
3,36,2244
3,37,2243
3,38,2242
3,39,2241
4,0,2240
4,1,2239
4,2,2238
4,3,2237
4,4,2236
4,5,2235
4,6,2234
4,7,2233
4,8,2232
4,9,2231
